Symptoms,Illness
"Wheezing, shortness of breath, chest tightness, coughing",Asthma
"Itchy, spotty rash, fever, fatigue",Chickenpox
"Increased thirst, frequent urination, fatigue, unintended weight loss",Diabetes
"Dry, itchy, cracked skin, flare-ups",Eczema
"Sudden high temperature, aching body, fatigue, dry cough, sore throat",Flu
"Sudden diarrhea, vomiting, stomach cramps, fever",Gastroenteritis
"Often asymptomatic; severe cases: headaches, shortness of breath, nosebleeds",Hypertension
"Stomach cramps, bloating, diarrhea, constipation",Irritable Bowel Syndrome
"Yellowing of skin and eyes, dark urine, pale stools",Jaundice
"Severe pain in back or side, blood in urine, nausea, vomiting",Kidney Stones
"Severe headache, nausea, sensitivity to light and sound",Migraine
"Fever, cough, difficulty breathing, chest pain",Pneumonia
"Persistent cough, mucus production, chest discomfort",Bronchitis
"Severe abdominal pain, nausea, vomiting, fever",Appendicitis
"Sore throat, difficulty swallowing, swollen tonsils",Tonsillitis
"Fatigue, pale skin, dizziness, shortness of breath",Anemia
"Jaundice, abdominal pain, nausea, dark urine",Hepatitis
"Fever, headache, stiff neck, nausea, confusion",Meningitis
"Persistent cough, weight loss, night sweats, fever",Tuberculosis
"Facial pain, nasal congestion, headache, runny nose",Sinusitis
"Red, scaly patches on the skin, itching, burning",Psoriasis
"Abdominal pain, diarrhea, rectal bleeding, weight loss",Ulcerative Colitis
"Chronic diarrhea, abdominal pain, fatigue, weight loss",Crohns Disease
"Fever, weight loss, night sweats, immune system decline",HIV/AIDS
"Seizures, confusion, loss of consciousness, muscle twitching",Epilepsy
"Sudden numbness, weakness, difficulty speaking, loss of balance",Stroke
"Chest pain, shortness of breath, nausea, dizziness",Heart Attack
"Numbness, muscle weakness, vision problems, balance issues",Multiple Sclerosis
"Tremors, slow movements, muscle stiffness, balance problems",Parkinsons Disease
"Memory loss, confusion, difficulty with speech and thinking",Alzheimers Disease
"Joint pain, stiffness, swelling, reduced mobility",Osteoarthritis
"Joint pain, swelling, fatigue, morning stiffness",Rheumatoid Arthritis
"Fatigue, joint pain, skin rash, fever, kidney problems",Lupus
"Diarrhea, bloating, weight loss, fatigue, nutrient deficiencies",Celiac Disease
"Joint pain, swelling, redness, warmth, stiffness",Gout
"Pain, itching, swelling, rectal bleeding",Hemorrhoids
"Frequent urination, burning sensation, cloudy urine, pelvic pain",Urinary Tract Infection
"Abdominal pain, nausea, vomiting, indigestion, bloating",Gallstones
"Severe abdominal pain, nausea, vomiting, fever",Pancreatitis
"Heartburn, acid reflux, difficulty swallowing, chest pain",GERD
"Ear pain, fever, hearing difficulty, fluid drainage",Otitis Media
"Red, itchy, watery eyes, swelling, discharge",Conjunctivitis
"Gradual vision loss, eye pain, headaches, halos around lights",Glaucoma
"Blurred vision, faded colors, sensitivity to light, double vision",Cataracts
"Unintentional weight loss, fast heartbeat, heat intolerance",Hyperthyroidism
"Fatigue, weight gain, cold intolerance, slow heart rate",Hypothyroidism
"Itchy rash, burrow-like tracks in skin, intense itching at night",Scabies
"Circular, red, scaly rash with a clear center, itching",Ringworm
"Fever, runny nose, cough, red eyes, rash",Measles
"Swollen salivary glands, fever, headache, muscle aches",Mumps
"Heartburn, acid regurgitation, chest discomfort, difficulty swallowing",Acid Reflux
"Pimples, blackheads, whiteheads, oily skin, inflammation",Acne
"Fatigue, weight loss, low blood pressure, skin darkening",Addisons Disease
"Often asymptomatic; rupture: severe headache, vision loss, loss of consciousness",Aneurysm
"Sudden facial paralysis, drooping mouth, loss of taste, drooling",Bell's Palsy
"Mood swings, manic episodes, depressive episodes, impulsive behavior",Bipolar Disorder
"Red, swollen, painful lump filled with pus",Boils
"Headaches, vision problems, seizures, memory loss",Brain Tumor
"Irregular bleeding, pelvic pain, unusual discharge",Cervical Cancer
"Watery diarrhea, dehydration, muscle cramps, rapid heartbeat",Cholera
"Painful blisters, tingling sensation, swollen gums",Cold Sores
"Thick mucus, persistent cough, lung infections, poor growth",Cystic Fibrosis
"High fever, severe muscle pain, rash, bleeding gums",Dengue Fever
"Persistent sadness, loss of interest, fatigue, sleep disturbances",Depression
"Pelvic pain, painful periods, heavy menstrual bleeding, infertility",Endometriosis
"Severe sore throat, difficulty breathing, drooling, fever",Epiglottitis
"Widespread pain, fatigue, sleep disturbances, memory issues",Fibromyalgia
"Nausea, vomiting, diarrhea, stomach cramps, fever",Food Poisoning
"Severe pain, swelling, bruising, deformity",Fracture
"Tissue death, skin discoloration, foul odor, severe pain",Gangrene
"Diarrhea, abdominal cramps, bloating, gas",Giardiasis
"Weakness, tingling, paralysis, difficulty breathing",Guillain-Barré Syndrome
"Fever, muscle aches, shortness of breath, coughing",Hantavirus
"High body temperature, confusion, dizziness, lack of sweating",Heat Stroke
"Easy bruising, prolonged bleeding, joint pain, blood in urine",Hemophilia
"Bulging lump, pain, discomfort during lifting or bending",Hernia
"Nausea, kidney stones, frequent urination, confusion",Hypercalcemia
"Dizziness, sweating, hunger, rapid heartbeat, confusion",Hypoglycemia
"Fatigue, frequent infections, easy bruising, unexplained weight loss",Leukemia
"Fatigue, jaundice, swelling in legs, confusion",Liver Cirrhosis
"Bullseye rash, fever, joint pain, fatigue",Lyme Disease
"Fever, chills, sweating, nausea, muscle pain",Malaria
"New or changing mole, irregular borders, asymmetry, multiple colors",Melanoma
"Severe pain, rapid swelling, skin discoloration, fever",Necrotizing Fasciitis
"Fever, hallucinations, excessive salivation, paralysis",Rabies
"Fever, confusion, rapid heartbeat, difficulty breathing",Sepsis
"Painful rash, blisters, burning sensation, itching",Shingles
"High fever, weakness, abdominal pain, rose-colored rash",Typhoid Fever
"Severe coughing fits, whooping sound, vomiting, exhaustion",Whooping Cough
"Wheezing, shortness of breath, chest tightness, coughing",Asthma
"Itchy, spotty rash, fever, fatigue",Chickenpox
"Increased thirst, frequent urination, fatigue, unintended weight loss",Diabetes
"Dry, itchy, cracked skin, flare-ups",Eczema
"Sudden high temperature, aching body, fatigue, dry cough, sore throat",Flu
"Sudden diarrhea, vomiting, stomach cramps, fever",Gastroenteritis
"Often asymptomatic; severe cases: headaches, shortness of breath, nosebleeds",Hypertension
"Stomach cramps, bloating, diarrhea, constipation",Irritable Bowel Syndrome
"Yellowing of skin and eyes, dark urine, pale stools",Jaundice
"Severe pain in back or side, blood in urine, nausea, vomiting",Kidney Stones
"Severe headache, nausea, sensitivity to light and sound",Migraine
"Fever, cough, difficulty breathing, chest pain",Pneumonia
"Persistent cough, mucus production, chest discomfort",Bronchitis
"Severe abdominal pain, nausea, vomiting, fever",Appendicitis
"Sore throat, difficulty swallowing, swollen tonsils",Tonsillitis
"Fatigue, pale skin, dizziness, shortness of breath",Anemia
"Jaundice, abdominal pain, nausea, dark urine",Hepatitis
"Fever, headache, stiff neck, nausea, confusion",Meningitis
"Persistent cough, weight loss, night sweats, fever",Tuberculosis
"Facial pain, nasal congestion, headache, runny nose",Sinusitis
"Red, scaly patches on the skin, itching, burning",Psoriasis
"Abdominal pain, diarrhea, rectal bleeding, weight loss",Ulcerative Colitis
"Chronic diarrhea, abdominal pain, fatigue, weight loss",Crohns Disease
"Fever, weight loss, night sweats, immune system decline",HIV/AIDS
"Seizures, confusion, loss of consciousness, muscle twitching",Epilepsy
"Sudden numbness, weakness, difficulty speaking, loss of balance",Stroke
"Chest pain, shortness of breath, nausea, dizziness",Heart Attack
"Numbness, muscle weakness, vision problems, balance issues",Multiple Sclerosis
"Tremors, slow movements, muscle stiffness, balance problems",Parkinsons Disease
"Memory loss, confusion, difficulty with speech and thinking",Alzheimers Disease
"Joint pain, stiffness, swelling, reduced mobility",Osteoarthritis
"Joint pain, swelling, fatigue, morning stiffness",Rheumatoid Arthritis
"Fatigue, joint pain, skin rash, fever, kidney problems",Lupus
"Diarrhea, bloating, weight loss, fatigue, nutrient deficiencies",Celiac Disease
"Joint pain, swelling, redness, warmth, stiffness",Gout
"Pain, itching, swelling, rectal bleeding",Hemorrhoids
"Frequent urination, burning sensation, cloudy urine, pelvic pain",Urinary Tract Infection
"Abdominal pain, nausea, vomiting, indigestion, bloating",Gallstones
"Severe abdominal pain, nausea, vomiting, fever",Pancreatitis
"Heartburn, acid reflux, difficulty swallowing, chest pain",GERD
"Ear pain, fever, hearing difficulty, fluid drainage",Otitis Media
"Red, itchy, watery eyes, swelling, discharge",Conjunctivitis
"Gradual vision loss, eye pain, headaches, halos around lights",Glaucoma
"Blurred vision, faded colors, sensitivity to light, double vision",Cataracts
"Unintentional weight loss, fast heartbeat, heat intolerance",Hyperthyroidism
"Fatigue, weight gain, cold intolerance, slow heart rate",Hypothyroidism
"Itchy rash, burrow-like tracks in skin, intense itching at night",Scabies
"Circular, red, scaly rash with a clear center, itching",Ringworm
"Fever, runny nose, cough, red eyes, rash",Measles
"Swollen salivary glands, fever, headache, muscle aches",Mumps
